,date,symbol,open,high,low,close,volume,adj_close
0,2021-01-04,MSFT,222.52999877929688,223.0,214.80999755859375,217.69000244140625,37130100,210.84429931640625
1,2021-01-05,MSFT,217.25999450683594,218.52000427246094,215.6999969482422,217.89999389648438,23823000,211.04769897460938
2,2021-01-06,MSFT,212.1699981689453,216.49000549316406,211.94000244140625,212.25,35930700,205.5753631591797
3,2021-01-07,MSFT,214.0399932861328,219.33999633789062,213.7100067138672,218.2899932861328,27694500,211.42539978027344
4,2021-01-08,MSFT,218.67999267578125,220.5800018310547,217.02999877929688,219.6199951171875,22956200,212.71359252929688
5,2021-01-11,MSFT,218.47000122070312,218.91000366210938,216.72999572753906,217.49000549316406,23031300,210.6505889892578
6,2021-01-12,MSFT,216.5,217.10000610351562,213.32000732421875,214.92999267578125,23249300,208.17108154296875
7,2021-01-13,MSFT,214.02000427246094,216.75999450683594,213.92999267578125,216.33999633789062,20087100,209.53672790527344
8,2021-01-14,MSFT,215.91000366210938,217.4600067138672,212.74000549316406,213.02000427246094,29480800,206.32113647460938
9,2021-01-15,MSFT,213.52000427246094,214.50999450683594,212.02999877929688,212.64999389648438,31746500,205.96278381347656
10,2021-01-19,MSFT,213.75,216.97999572753906,212.6300048828125,216.44000244140625,30480900,209.63357543945312
11,2021-01-20,MSFT,217.6999969482422,225.7899932861328,217.2899932861328,224.33999633789062,37777300,217.28517150878906
12,2021-01-21,MSFT,224.6999969482422,226.3000030517578,222.4199981689453,224.97000122070312,30709400,217.8953399658203
13,2021-01-22,MSFT,227.0800018310547,230.07000732421875,225.8000030517578,225.9499969482422,30172700,218.8445281982422
14,2021-01-25,MSFT,229.1199951171875,229.77999877929688,224.22000122070312,229.52999877929688,33152100,222.31192016601562
15,2021-01-26,MSFT,231.86000061035156,234.17999267578125,230.0800018310547,232.3300018310547,49169600,225.02392578125
16,2021-01-27,MSFT,238.0,240.44000244140625,230.13999938964844,232.89999389648438,69870600,225.5759735107422
17,2021-01-28,MSFT,235.61000061035156,242.63999938964844,235.08999633789062,238.92999267578125,49111200,231.41636657714844
18,2021-01-29,MSFT,235.99000549316406,238.02000427246094,231.35000610351562,231.9600067138672,42503100,224.66554260253906
19,2021-02-01,MSFT,235.05999755859375,242.5,232.42999267578125,239.64999389648438,33314200,232.11370849609375
20,2021-02-02,MSFT,241.3000030517578,242.30999755859375,238.69000244140625,239.50999450683594,25916300,231.97811889648438
21,2021-02-03,MSFT,239.57000732421875,245.08999633789062,239.25999450683594,243.0,27158100,235.3583526611328
22,2021-02-04,MSFT,242.66000366210938,243.24000549316406,240.3699951171875,242.00999450683594,25296100,234.3994598388672
23,2021-02-05,MSFT,242.22999572753906,243.27999877929688,240.4199981689453,242.1999969482422,18054800,234.58352661132812
24,2021-02-08,MSFT,243.14999389648438,243.67999267578125,240.80999755859375,242.47000122070312,22211900,234.8450469970703
